id,ruolo,giocatore,squadra,quotazione,FVM_originale_1000,FVM_convertito_500,prezzo_video_500,prezzo_personale_500,fonte_attiva
2097,A,Kean,Fiorentina,25,187,93.5,90.0,,VIDEO
5951,A,Kolo Muani,Juventus,25,211,105.5,90.0,,VIDEO
6434,A,Yildiz,Juventus,22,150,75.0,38.0,,VIDEO
7017,A,Douvikas,Como,21,170,85.0,65.0,,VIDEO
6435,A,Krstovic,Atalanta,19,100,50.0,60.0,,VIDEO
2137,A,Scamacca,Atalanta,19,123,61.5,60.0,,VIDEO
5637,A,Davis K.,Udinese,19,109,54.5,60.0,,VIDEO
4510,A,Leao,Milan,18,75,37.5,,,STIMA
531,A,Berardi,Sassuolo,18,101,50.5,50.0,,VIDEO
5995,A,De Ketelaere,Atalanta,17,98,49.0,25.0,,VIDEO
7071,A,Esposito F.P.,Inter,17,105,52.5,66.5,,VIDEO
6675,A,Dovbyk,Bologna,15,58,29.0,45.0,,VIDEO
309,A,Dybala,Roma,15,95,47.5,61.5,,VIDEO
6060,A,Laurientè,Sassuolo,15,86,43.0,45.0,,VIDEO
2061,A,Simeone,Torino,15,80,40.0,50.0,,VIDEO
4371,A,Raspadori,Atalanta,14,76,38.0,25.0,,VIDEO
7351,A,Santos A.,Napoli,14,62,31.0,33.0,,VIDEO
7023,A,Pellegrino M.,Fiorentina,14,50,25.0,45.0,,VIDEO
6572,A,Castro S.,Roma,14,76,38.0,40.0,,VIDEO
4463,A,Esposito Se.,Sassuolo,13,40,20.0,,,STIMA
2038,A,Pinamonti,Lazio,13,51,25.5,50.0,,VIDEO
7547,A,Kevin Carlos,Cagliari,13,37,18.5,,,STIMA
5734,A,Soulè,Roma,12,45,22.5,25.0,,VIDEO
7484,A,Adams A.,Venezia,12,45,22.5,20.0,,VIDEO
6967,A,Diao,Como,11,47,23.5,,,STIMA
4923,A,Colombo,Genoa,11,55,27.5,35.0,,VIDEO
6229,A,Tourè E.,Parma,11,43,21.5,,,STIMA
5672,A,Dia,Lazio,10,30,15.0,,,STIMA
7313,A,Ratkov,Lazio,10,26,13.0,,,STIMA
7347,A,Bowie,Sassuolo,10,39,19.5,25.0,,VIDEO
6646,A,Adams C.,Torino,10,33,16.5,,,STIMA
7554,A,Romero D.,Parma,10,37,18.5,25.0,,VIDEO
6530,A,Ghedjemis,Frosinone,9,23,11.5,,,STIMA
5544,A,David,Juventus,9,37,18.5,,,STIMA
5029,A,Geubbels,Lecce,9,23,11.5,,,STIMA
2155,A,Cutrone,Monza,9,30,15.0,,,STIMA
7612,A,Bobcek,Frosinone,9,38,19.0,,,STIMA
4359,A,Piccoli,Bologna,8,37,18.5,,,STIMA
6164,A,Vitinha O.,Genoa,8,16,8.0,,,STIMA
6904,A,Yeboah J.,Venezia,8,27,13.5,20.0,,VIDEO
7449,A,Rrahmani Al.,Venezia,8,18,9.0,,,STIMA
7600,A,Osmajic,Genoa,8,30,15.0,,,STIMA
5436,A,Raimondo,Frosinone,7,15,7.5,,,STIMA
6669,A,Bonny,Inter,7,18,9.0,,,STIMA
7252,A,Stulic,Lecce,7,12,6.0,,,STIMA
608,A,Zapata D.,Torino,7,18,9.0,,,STIMA
5918,A,Sulemana K.,Atalanta,6,10,5.0,,,STIMA
6598,A,Mutandwa,Cagliari,6,10,5.0,,,STIMA
2832,A,Boga,Juventus,6,26,13.0,,,STIMA
6556,A,Noslin,Lazio,6,17,8.5,,,STIMA
7008,A,Gimenez,Milan,6,10,5.0,,,STIMA
6831,A,Neres,Napoli,6,17,8.5,,,STIMA
4896,A,Maldini,Cagliari,5,21,10.5,,,STIMA
6519,A,Camarda,Milan,5,20,10.0,,,STIMA
5882,A,Mota,Monza,5,10,5.0,,,STIMA
7523,A,Varela G.,Monza,5,20,10.0,20.0,,VIDEO
7213,A,Frigan,Parma,5,10,5.0,,,STIMA
4387,A,Adorante,Venezia,5,12,6.0,,,STIMA
2012,A,Milik,Juventus,5,13,6.5,,,STIMA
7610,A,Birligea,Frosinone,5,14,7.0,,,STIMA
6145,A,Ngonge,Monza,5,13,6.5,,,STIMA
6243,A,Borrelli,Cagliari,4,9,4.5,,,STIMA
7374,A,Mendy P.,Cagliari,4,14,7.0,,,STIMA
6204,A,Kvernadze,Frosinone,4,17,8.5,,,STIMA
7453,A,Havel,Genoa,4,9,4.5,,,STIMA
7162,A,Giovane,Napoli,4,10,5.0,,,STIMA
7120,A,Lang,Napoli,4,12,6.0,,,STIMA
6215,A,Lucca,Napoli,4,10,5.0,,,STIMA
7349,A,Kulenovic,Torino,4,9,4.5,,,STIMA
7272,A,Gueye,Udinese,4,7,3.5,,,STIMA
7546,A,Robinson J.,Monza,4,5,2.5,,,STIMA
7602,A,Fatah,Lecce,4,17,8.5,,,STIMA
7128,A,Kuhn,Como,3,5,2.5,,,STIMA
6822,A,Ekhator,Juventus,3,10,5.0,,,STIMA
