id,ruolo,giocatore,squadra,quotazione,FVM_originale_1000,FVM_convertito_500,prezzo_video_500,prezzo_personale_500,fonte_attiva
5841,P,Svilar,Roma,18,75,37.5,70.0,,VIDEO
5116,P,Martinez Jo.,Inter,17,63,31.5,55.0,,VIDEO
4431,P,Carnesecchi,Atalanta,16,52,26.0,60.0,,VIDEO
6966,P,Butez,Como,16,54,27.0,50.0,,VIDEO
4964,P,Vicario,Juventus,16,58,29.0,60.0,,VIDEO
4312,P,Maignan,Milan,15,50,25.0,50.0,,VIDEO
2521,P,De Gea,Fiorentina,12,40,20.0,30.0,,VIDEO
572,P,Meret,Napoli,11,53,26.5,55.0,,VIDEO
133,P,Skorupski,Bologna,10,36,18.0,20.0,,VIDEO
4360,P,Caprile,Cagliari,10,28,14.0,10.0,,VIDEO
6482,P,Mandas,Lazio,10,32,16.0,20.0,,VIDEO
2134,P,Falcone,Lecce,9,30,15.0,16.5,,VIDEO
6462,P,Okoye,Udinese,9,29,14.5,16.5,,VIDEO
6534,P,Perri,Torino,9,26,13.0,,,STIMA
7332,P,Bijlow,Genoa,8,17,8.5,10.0,,VIDEO
7411,P,Daffara,Parma,7,10,5.0,,,STIMA
4236,P,Muric,Sassuolo,7,15,7.5,5.0,,VIDEO
6248,P,Stankovic F.,Venezia,6,12,6.0,5.0,,VIDEO
6415,P,Palmisani,Frosinone,5,12,6.0,1.5,,VIDEO
4485,P,Thiam,Monza,5,11,5.5,1.5,,VIDEO
2170,P,Milinkovic-Savic V.,Napoli,5,7,3.5,,,STIMA
7463,P,Desplanches,Frosinone,2,3,1.5,,,STIMA
2814,P,Provedel,Inter,2,5,2.5,,,STIMA
4,P,Sportiello,Atalanta,1,1,0.5,,,STIMA
7533,P,Happonen,Bologna,1,1,0.5,,,STIMA
7172,P,Pessina Mas.,Bologna,1,1,0.5,,,STIMA
6650,P,Sherri,Cagliari,1,1,0.5,,,STIMA
7301,P,Tornqvist,Como,1,1,0.5,,,STIMA
2809,P,Vigorito,Como,1,1,0.5,,,STIMA
6403,P,Christensen O.,Fiorentina,1,1,0.5,,,STIMA
158,P,Lezzerini,Fiorentina,1,1,0.5,,,STIMA
7466,P,Lolic,Frosinone,1,1,0.5,,,STIMA
219,P,Sommariva,Genoa,1,1,0.5,,,STIMA
6569,P,Stolz,Genoa,1,1,0.5,,,STIMA
1926,P,Di Gennaro,Inter,1,1,0.5,,,STIMA
1930,P,Pinsoglio,Juventus,1,1,0.5,,,STIMA
7337,P,Motta,Lazio,1,1,0.5,,,STIMA
7534,P,Renzetti,Lazio,1,1,0.5,,,STIMA
2815,P,Terracciano,Milan,1,1,0.5,,,STIMA
6813,P,Torriani,Milan,1,1,0.5,,,STIMA
7475,P,Strajnar,Monza,1,1,0.5,,,STIMA
2845,P,Contini,Napoli,1,1,0.5,,,STIMA
6662,P,Corvi,Parma,1,10,5.0,,,STIMA
7048,P,De Marzi,Roma,1,1,0.5,,,STIMA
610,P,Gollini,Roma,1,1,0.5,,,STIMA
4518,P,Russo A.,Sassuolo,1,1,0.5,,,STIMA
4867,P,Turati,Sassuolo,1,1,0.5,,,STIMA
7457,P,Mascardi,Torino,1,13,6.5,10.0,,VIDEO
5320,P,Paleari,Torino,1,1,0.5,,,STIMA
7363,P,Siviero,Torino,1,1,0.5,,,STIMA
543,P,Padelli,Udinese,1,1,0.5,,,STIMA
5707,P,Piana,Udinese,1,1,0.5,,,STIMA
6671,P,Grandi,Venezia,1,1,0.5,,,STIMA
7531,P,Pozzi,Venezia,1,1,0.5,,,STIMA
7545,P,Vismara,Atalanta,1,1,0.5,,,STIMA
2127,P,Satalino,Sassuolo,1,1,0.5,,,STIMA
7557,P,Penev,Lecce,1,1,0.5,,,STIMA
7560,P,Pisseri,Frosinone,1,1,0.5,,,STIMA
3,P,Radunovic,Cagliari,1,1,0.5,,,STIMA
4957,P,Montipò,Venezia,1,1,0.5,,,STIMA
4468,P,Bleve,Lecce,1,1,0.5,,,STIMA
7603,P,Grabara,Juventus,1,1,0.5,,,STIMA
7611,P,Mrozek,Udinese,1,1,0.5,,,STIMA
254,D,Dimarco,Inter,31,253,126.5,75.0,,VIDEO
4998,D,Molina N.,Roma,18,80,40.0,26.5,,VIDEO
7181,D,Wesley,Roma,17,82,41.0,40.0,,VIDEO
4159,D,Akanji,Inter,16,51,25.5,38.0,,VIDEO
2788,D,Bremer,Juventus,16,60,30.0,38.0,,VIDEO
2296,D,Mancini,Roma,15,49,24.5,38.0,,VIDEO
2120,D,Bastoni,Inter,14,43,21.5,32.5,,VIDEO
5022,D,Pavlovic,Milan,14,48,24.0,30.0,,VIDEO
4409,D,Rrahmani,Napoli,14,51,25.5,38.0,,VIDEO
4976,D,Kalulu,Juventus,13,46,23.0,33.0,,VIDEO
4317,D,N'Dicka,Roma,13,44,22.0,,,STIMA
6956,D,Solet,Udinese,13,46,23.0,25.0,,VIDEO
6217,D,Bisseck,Inter,12,37,18.5,26.5,,VIDEO
2514,D,Stones,Inter,12,30,15.0,,,STIMA
5833,D,Gila,Milan,12,31,15.5,,,STIMA
2816,D,Di Lorenzo,Napoli,12,40,20.0,25.0,,VIDEO
5982,D,Spence,Inter,12,40,20.0,26.5,,VIDEO
5750,D,Ostigard,Genoa,11,43,21.5,30.0,,VIDEO
5526,D,Scalvini,Atalanta,10,28,14.0,,,STIMA
6869,D,Ramon,Como,10,32,16.0,28.0,,VIDEO
5885,D,Dodò,Fiorentina,10,20,10.0,,,STIMA
4807,D,Hermoso,Roma,10,26,13.0,,,STIMA
5514,D,Vasquez,Genoa,9,32,16.0,,,STIMA
5520,D,Cambiaso,Juventus,9,25,12.5,,,STIMA
6989,D,Tiago Gabriel,Lecce,9,20,10.0,,,STIMA
5641,D,Chalobah T.,Como,9,30,15.0,30.0,,VIDEO
6046,D,Hien,Atalanta,8,11,5.5,,,STIMA
554,D,Zappacosta,Atalanta,8,19,9.5,,,STIMA
6042,D,Lucumì,Juventus,8,18,9.0,,,STIMA
4734,D,Miranda J.,Bologna,8,24,12.0,,,STIMA
4210,D,Mina,Cagliari,8,20,10.0,,,STIMA
6531,D,Jimenez A.,Fiorentina,8,23,11.5,,,STIMA
6814,D,Norton-Cuffy,Genoa,8,21,10.5,,,STIMA
4657,D,Celik,Juventus,8,15,7.5,,,STIMA
6320,D,Doekhi,Lazio,8,16,8.0,,,STIMA
6496,D,Bartesaghi,Milan,8,22,11.0,,,STIMA
1852,D,Spinazzola,Napoli,8,25,12.5,,,STIMA
6664,D,Delprato,Parma,8,21,10.5,,,STIMA
5862,D,Valeri,Parma,8,24,12.0,,,STIMA
7529,D,Koulierakis,Roma,8,17,8.5,,,STIMA
4994,D,Vojvoda,Udinese,8,19,9.5,,,STIMA
5555,D,Kamara H.,Udinese,8,12,6.0,,,STIMA
6727,D,Couto,Como,8,26,13.0,20.0,,VIDEO
5701,D,Obert,Cagliari,7,15,7.5,,,STIMA
7414,D,Kaiki,Como,7,16,8.0,,,STIMA
5365,D,Dragusin,Fiorentina,7,27,13.5,,,STIMA
5877,D,Carlos Augusto,Inter,7,25,12.5,,,STIMA
460,D,Romagnoli,Lazio,7,22,11.0,,,STIMA
4401,D,Gabbia,Milan,7,24,12.0,,,STIMA
4751,D,Tomori,Milan,7,8,4.0,,,STIMA
2724,D,Buongiorno,Napoli,7,15,7.5,,,STIMA
6672,D,Idzes,Sassuolo,7,19,9.5,,,STIMA
6642,D,Coco,Torino,7,14,7.0,,,STIMA
5010,D,Ismajli,Torino,7,13,6.5,,,STIMA
6485,D,Kristensen T.,Atalanta,7,20,10.0,20.0,,VIDEO
4664,D,Badiashile,Napoli,7,21,10.5,,,STIMA
7580,D,Sutalo J.,Lazio,7,19,9.5,,,STIMA
6916,D,Ahanor,Atalanta,6,14,7.0,,,STIMA
4887,D,Bellanova,Atalanta,6,17,8.5,,,STIMA
7219,D,Bernasconi,Atalanta,6,18,9.0,,,STIMA
7212,D,Heggem,Bologna,6,15,7.5,,,STIMA
4433,D,Zortea,Bologna,6,19,9.5,,,STIMA
6867,D,Valle,Como,6,21,10.5,,,STIMA
7294,D,Valdepenas,Fiorentina,6,18,9.0,20.0,,VIDEO
7410,D,Viery,Fiorentina,6,17,8.5,,,STIMA
4952,D,Monterisi,Frosinone,6,13,6.5,,,STIMA
6660,D,Marcandalli,Genoa,6,14,7.0,,,STIMA
4177,D,Pavard,Inter,6,14,7.0,,,STIMA
5620,D,Tavares N.,Lazio,6,12,6.0,,,STIMA
2188,D,Marusic,Lazio,6,20,10.0,,,STIMA
6632,D,Gaspar K.,Lecce,6,12,6.0,,,STIMA
6990,D,Veiga D.,Lecce,6,12,6.0,,,STIMA
4502,D,Gallo,Lecce,6,13,6.5,,,STIMA
7485,D,Mangas,Monza,6,15,7.5,,,STIMA
6202,D,Beukema,Napoli,6,12,6.0,,,STIMA
6495,D,Comuzzo,Torino,6,13,6.5,,,STIMA
7253,D,Bella-Kotchap,Venezia,6,13,6.5,,,STIMA
7329,D,Obrador,Sassuolo,6,15,7.5,,,STIMA
2640,D,Kolasinac,Atalanta,5,8,4.0,,,STIMA
7068,D,Vitik,Bologna,5,10,5.0,,,STIMA
5678,D,Holm,Bologna,5,13,6.5,,,STIMA
7532,D,Kofler,Cagliari,5,8,4.0,,,STIMA
7274,D,Zè Pedro,Cagliari,5,13,6.5,,,STIMA
6893,D,Kempf,Como,5,13,6.5,,,STIMA
5449,D,Parisi,Fiorentina,5,10,5.0,,,STIMA
7469,D,Bracaglia,Frosinone,5,12,6.0,,,STIMA
6238,D,Oyono A.,Frosinone,5,10,5.0,,,STIMA
2593,D,Martin,Genoa,5,8,4.0,,,STIMA
6766,D,Kelly L.,Juventus,5,12,6.0,,,STIMA
4817,D,Pedraza,Lazio,5,15,7.5,,,STIMA
7240,D,Siebert,Lecce,5,12,6.0,,,STIMA
5840,D,Olivera,Napoli,5,13,6.5,,,STIMA
6986,D,Rensch,Roma,5,14,7.0,,,STIMA
6890,D,Moreno M.,Venezia,5,6,3.0,,,STIMA
4845,D,Correia T.,Venezia,5,12,6.0,,,STIMA
5695,D,Haps,Venezia,5,10,5.0,,,STIMA
7069,D,Fortini,Torino,5,12,6.0,,,STIMA
7564,D,Leysen F.,Sassuolo,5,12,6.0,,,STIMA
7268,D,Rodriguez Ju.,Cagliari,4,14,7.0,,,STIMA
7014,D,Smolcic I.,Como,4,10,5.0,,,STIMA
5603,D,Pongracic,Fiorentina,4,8,4.0,,,STIMA
7467,D,Calvani,Frosinone,4,12,6.0,,,STIMA
7537,D,Mitaj,Genoa,4,10,5.0,,,STIMA
5831,D,Gatti,Juventus,4,10,5.0,,,STIMA
5739,D,De Winter,Milan,4,12,6.0,,,STIMA
5273,D,Estupinan,Milan,4,13,6.5,,,STIMA
2115,D,Delli Carri,Monza,4,11,5.5,,,STIMA
6659,D,Lucchesi,Monza,4,11,5.5,,,STIMA
5838,D,Birindelli,Monza,4,12,6.0,,,STIMA
7235,D,Troilo,Parma,4,14,7.0,,,STIMA
5307,D,Valenti,Parma,4,10,5.0,,,STIMA
6631,D,Ghilardi,Roma,4,10,5.0,,,STIMA
4374,D,Walukiewicz,Sassuolo,4,10,5.0,,,STIMA
5851,D,Doig,Sassuolo,4,10,5.0,,,STIMA
7526,D,Comert,Torino,4,12,6.0,,,STIMA
4263,D,Kabasele,Udinese,4,12,6.0,,,STIMA
5820,D,Bertola,Udinese,4,10,5.0,,,STIMA
5527,D,Zanoli,Udinese,4,10,5.0,,,STIMA
7312,D,Arizala,Udinese,4,8,4.0,,,STIMA
7538,D,Halhal,Venezia,4,10,5.0,,,STIMA
4375,D,Terzic,Frosinone,4,8,4.0,,,STIMA
7563,D,Favasuli,Napoli,4,11,5.5,,,STIMA
5578,D,Kossounou,Atalanta,3,12,6.0,,,STIMA
5498,D,Casale,Bologna,3,5,2.5,,,STIMA
7326,D,Helland,Bologna,3,12,6.0,,,STIMA
7125,D,Idrissi R.,Cagliari,3,3,1.5,,,STIMA
4378,D,Ranieri L.,Fiorentina,3,10,5.0,,,STIMA
7175,D,Joao Mario,Fiorentina,3,12,6.0,,,STIMA
7540,D,Akpoguma,Frosinone,3,6,3.0,,,STIMA
5757,D,Cittadini,Frosinone,3,8,4.0,,,STIMA
7012,D,Provstgaard,Lazio,3,14,7.0,,,STIMA
7131,D,Floriani Mussolini,Lazio,3,10,5.0,,,STIMA
7238,D,Kouadio,Monza,3,14,7.0,,,STIMA
4925,D,Carboni A.,Monza,3,9,4.5,,,STIMA
7255,D,Britschgi,Parma,3,10,5.0,,,STIMA
6985,D,Candè,Sassuolo,3,7,3.5,,,STIMA
6925,D,Palma,Udinese,3,11,5.5,,,STIMA
5994,D,Ebosse,Udinese,3,5,2.5,,,STIMA
6892,D,Schingtienne,Venezia,3,10,5.0,,,STIMA
6673,D,Sverko,Venezia,3,7,3.5,,,STIMA
6821,D,Hainaut,Venezia,3,12,6.0,,,STIMA
7154,D,Odenthal,Sassuolo,3,8,4.0,,,STIMA
7605,D,Tchato,Frosinone,3,8,4.0,,,STIMA
6601,D,Kambwala,Como,3,8,4.0,,,STIMA
7483,D,Alhassane,Bologna,2,6,3.0,,,STIMA
6896,D,Van Der Brempt,Como,2,5,2.5,,,STIMA
6977,D,Otoa,Genoa,2,5,2.5,,,STIMA
7413,D,Puczka,Genoa,2,3,1.5,,,STIMA
791,D,Sabelli,Genoa,2,5,2.5,,,STIMA
2263,D,Lazzari,Lazio,2,5,2.5,,,STIMA
2728,D,Pellegrini Lu.,Lazio,2,7,3.5,,,STIMA
6883,D,Jean,Lecce,2,4,2.0,,,STIMA
7182,D,Ndaba,Lecce,2,5,2.5,,,STIMA
7525,D,Diawara S.,Milan,2,4,2.0,,,STIMA
7476,D,Bakoune,Monza,2,4,2.0,,,STIMA
6638,D,Marin R.,Napoli,2,8,4.0,,,STIMA
7202,D,Ndiaye,Parma,2,8,4.0,,,STIMA
252,D,Biraghi,Torino,2,5,2.5,,,STIMA
6021,D,Abankwah,Udinese,2,10,5.0,,,STIMA
7478,D,Franjic,Venezia,2,7,3.5,,,STIMA
6681,D,Sagrado,Venezia,2,4,2.0,,,STIMA
7548,D,Aurelio,Cagliari,2,5,2.5,,,STIMA
7573,D,Cinquegrano,Sassuolo,2,4,2.0,,,STIMA
5812,D,Terracciano F.,Milan,2,4,2.0,,,STIMA
487,D,De Silvestri,Bologna,1,4,2.0,,,STIMA
418,D,Goldaniga,Como,1,1,0.5,,,STIMA
5424,D,Amey,Frosinone,1,1,0.5,,,STIMA
294,D,Rugani,Juventus,1,3,1.5,,,STIMA
